cct,semaforo_std
02EPR0477E,0
02EPR0478D,0
02EPR0479C,0
02EPR0480S,0
02EPR0481R,0
02EPR0483P,0
02EPR0485N,0
02EPR0486M,1
02EPR0487L,0
02EPR0488K,0
02EPR0489J,0
02EPR0490Z,1
02EPR0491Y,0
02EPR0492X,1
02EPR0493W,0
02EPR0495U,1
02EPR0496T,0
02EPR0497S,0
02EPR0498R,0
02EPR0499Q,0
02EPR0500P,0
02EPR0501O,0
02EPR0502N,0
02EPR0503M,1
02EPR0504L,0
02EPR0505K,0
02EPR0506J,0
02EPR0507I,0
02EPR0508H,1
02EPR0509G,0
02EPR0510W,0
02EPR0512U,0
02EPR0513T,0
02EPR0514S,0
02EPR0516Q,0
02EPR0517P,0
02EPR0518O,0
02EPR0519N,1
02EPR0520C,0
02EPR0522A,0
02EPR0523Z,0
02EPR0524Z,0
02EPR0525Y,0
02PPR0003X,0
02PPR0004W,1
02PPR0005V,0
02PPR0006U,0
02PPR0007T,0
02PPR0012E,0
02PPR0013D,0
02PPR0014C,1
02PPR0015B,0
02PPR0016A,0
02PPR0017Z,0
02PPR0018Z,0
02PPR0019Y,0
02PPR0020N,0
02PPR0021M,0
02PPR0022L,0
02PPR0023K,0
02PPR0025I,1
02PPR0026H,0
02PPR0027G,0
02PPR0029E,0
02PPR0030U,1
02PPR0031T,0
02PPR0033R,0
02PPR0035P,0
02PPR0037N,0
02PPR0040A,0
02PPR0041Z,0
02PPR0042Z,0
02PPR0044X,0
02PPR0046V,0
02PPR0048T,1
02PPR0049S,1
02DPR0385P,0
02DPR0386O,0
02DPR0387N,0
02DPR0388M,0
02DPR0389L,0
02DPR0391Z,0
02DPR0392Z,0
02DPR0393Y,0
02DPR0394X,1
02DPR0395W,1
02DPR0396V,1
02DPR0397U,0
02DPR0398T,0
02DPR0399S,1
02DPR0401Q,0
02DPR0402P,1
02DPR0403O,0
02DPR0404N,0
02DPR0407K,0
02DPR0409I,0
02DPR0410Y,0
02DPR0414U,0
02DPR0415T,0
02DPR0417R,1
02DPR0418Q,0
02DPR0419P,0
02DPR0421D,0
02DPR0422C,0
02DPR0423B,0
02DPR0424A,1
02DPR0425Z,1
02DPR0427Y,0
02DPR0428X,1
02DPR0429W,0
02DPR0433I,0
02DPR0434H,0
02DPR0435G,0
02DPR0436F,0
02DPR0438D,1
02DPR0439C,0
02DPR0440S,1
02DPR0441R,0
02DPR0443P,0
02DPR0445N,0
02DPR0446M,0
02DPR0448K,0
02DPR0449J,0
02DPR0450Z,0
02DPR0452X,0
02DPR0453W,0
02DPR0454V,0
02DPR0456T,0
02DPR0457S,0
02DPR0458R,1
02DPR0459Q,0
02DPR0461E,1
02DPR0462D,0
02DPR0463C,0
02DPR0464B,0
02DPR0465A,0
02DPR0466Z,0
02DPR0467Z,0
02DPR0468Y,0
02DPR0469X,0
02DPR0470M,0
02DPR0473J,0
02DPR0475H,0
02DPR0476G,0
02DPR0477F,0
02DPR0478E,0
02DPR0479D,0
02DPR0480T,0
02DPR0481S,0
02DPR0482R,0
02DPR0483Q,0
02DPR0484P,0
02DPR0486N,0
02DPR0488L,0
02DPR0489K,0
02DPR0490Z,1
02DPR0491Z,1
02DPR0492Y,0
02DPR0493X,0
02DPR0495V,1
02DPR0496U,0
02DPR0498S,0
02DPR0499R,0
02DPR0500Q,0
02DPR0501P,0
02DPR0502O,1
02DPR0503N,0
02DPR0504M,0
02DPR0505L,0
02DPR0506K,1
02DPR0509H,0
02DPR0510X,1
02DPR0511W,0
02DPR0512V,0
02DPR0513U,0
02DPR0514T,0
02DPR0515S,0
02DPR0517Q,0
02DPR0518P,0
02DPR0520D,1
02DPR0521C,0
02DPR0522B,0
02DPR0523A,0
02DPR0525Z,1
02DPR0526Y,0
02DPR0527X,0
02DPR0528W,0
02DPR0529V,0
02DPR0530K,0
02DPR0531J,0
02DPR0534G,0
02DPR0536E,0
02DPR0537D,0
02DPR0538C,0
02DPR0540R,0
02DPR0542P,0
02DPR0543O,0
02DPR0544N,1
02DPR0546L,0
02DPR0547K,1
02DPR0548J,0
02DPR0549I,0
02DPR0551X,0
02DPR0552W,0
02DPR0554U,0
02DPR0555T,0
02DPR0556S,1
02DPR0558Q,0
02DPR0561D,0
02DPR0562C,0
02DPR0566Z,0
02DPR0567Y,0
02DPR0568X,0
02DPR0569W,0
02DPR0570L,0
02DPR0572J,0
02DPR0573I,0
02DPR0574H,0
02DPR0575G,1
02DPR0576F,0
02DPR0577E,0
02DPR0578D,0
02DPR0579C,0
02DPR0580S,0
02DPR0581R,0
02DPR0584O,0
02DPR0585N,0
02DPR0586M,0
02DPR0587L,0
02DPR0588K,1
02DPR0589J,0
02DPR0590Z,0
02DPR0591Y,1
02DPR0592X,0
02DPR0593W,0
02DPR0594V,0
02DPR0599Q,0
02DPR0600P,0
02DPR0601O,0
02DPR0602N,0
02DPR0604L,0
02DPR0607I,0
02DPR0608H,0
02DPR0609G,0
02DPR0610W,0
02DPR0611V,1
02DPR0612U,0
02DPR0613T,1
02DPR0614S,0
02DPR0615R,1
02DPR0616Q,1
02DPR0617P,0
02DPR0619N,0
02DPR0620C,1
02DPR0621B,1
02DPR0624Z,0
02DPR0628V,0
02DPR0630J,0
02DPR0633G,0
02DPR0634F,0
02DPR0635E,0
02DPR0636D,0
02DPR0638B,0
02DPR0639A,0
02DPR0640Q,0
02DPR0642O,0
02DPR0643N,0
02DPR0644M,0
02DPR0645L,0
02DPR0646K,0
02DPR0647J,0
02DPR0648I,1
02DPR0649H,0
02DPR0650X,0
02DPR0651W,0
02DPR0652V,1
02DPR0653U,0
02DPR0655S,0
02DPR0657Q,0
02DPR0659O,0
02DPR0660D,0
02DPR0661C,0
02DPR0664Z,0
02DPR0665Z,0
02DPR0666Y,0
02DPR0667X,0
02DPR0668W,0
02DPR0670K,0
02DPR0671J,0
02DPR0672I,0
02DPR0673H,1
02DPR0674G,1
02DPR0675F,0
02DPR0676E,0
02DPR0678C,0
02DPR0679B,0
02DPR0680R,1
02DPR0681Q,0
02DPR0682P,0
02DPR0683O,0
02DPR0684N,1
02DPR0686L,0
02DPR0687K,0
02DPR0688J,0
02DPR0689I,0
02DPR0690Y,1
02DPR0691X,0
02DPR0692W,0
02DPR0693V,0
02DPR0694U,0
02DPR0695T,0
02DPR0696S,1
02DPR0697R,0
02DPR0699P,0
02DPR0701N,0
02DPR0702M,0
02DPR0703L,0
02DPR0704K,1
02DPR0705J,1
02DPR0706I,0
02DPR0708G,0
02DPR0709F,0
02DPR0710V,0
02DPR0711U,0
02DPR0712T,1
02DPR0713S,0
02DPR0714R,0
02DPR0715Q,0
02DPR0716P,0
02DPR0717O,0
02DPR0718N,0
02DPR0719M,1
02DPR0720B,0
02DPR0721A,0
02DPR0723Z,1
02DPR0724Y,1
02DPR0725X,0
02DPR0726W,0
02DPR0727V,0
02DPR0728U,0
02DPR0729T,0
02DPR0730I,1
02DPR0731H,0
02DPR0732G,0
02DPR0733F,0
02DPR0734E,0
02DPR0735D,1
02DPR0736C,0
02DPR0737B,0
02DPR0738A,0
02DPR0739Z,0
02DPR0740P,0
02DPR0741O,0
02DPR0742N,1
02DPR0743M,0
02DPR0744L,0
02DPR0745K,0
02DPR0746J,0
02DPR0747I,0
02DPR0748H,0
02DPR0749G,0
02DPR0751V,0
02DPR0752U,0
02DPR0753T,0
02DPR0754S,0
02DPR0755R,0
02DPR0756Q,0
02DPR0757P,0
02DPR0758O,0
02DPR0759N,0
02DPR0760C,0
02DPR0761B,0
02DPR0762A,0
02DPR0763Z,0
02DPR0764Z,0
02DPR0765Y,0
02DPR0001U,1
02PPR0050H,0
02PPR0056B,0
02PPR0057A,0
02PPR0059Z,0
02PPR0060O,1
02PPR0061N,0
02PPR0062M,0
02PPR0063L,0
02PPR0064K,0
02PPR0065J,1
02PPR0066I,0
02PPR0067H,1
02PPR0068G,0
02PPR0069F,0
02PPR0071U,1
02PPR0072T,0
02PPR0074R,0
02PPR0075Q,0
02PPR0076P,0
02PPR0077O,0
02PPR0078N,0
02PPR0080B,1
02PPR0081A,0
02PPR0082Z,0
