cct,semaforo_std
02DPR0001U,0
02DPR0003S,0
02DPR0005Q,0
02DPR0006P,1
02DPR0007O,1
02DPR0008N,0
02DPR0009M,0
02DPR0012Z,0
02DPR0014Y,0
02DPR0015X,0
02DPR0017V,0
02DPR0019T,0
02DPR0020I,0
02DPR0023F,0
02DPR0024E,0
02DPR0025D,0
02DPR0027B,0
02DPR0028A,0
02DPR0029Z,0
02DPR0030P,1
02DPR0031O,0
02DPR0032N,1
02DPR0033M,0
02DPR0034L,0
02DPR0035K,0
02DPR0036J,0
02DPR0039G,0
02DPR0040W,1
02DPR0041V,0
02DPR0042U,0
02DPR0043T,0
02DPR0044S,0
02DPR0046Q,0
02DPR0048O,0
02DPR0049N,0
02DPR0050C,0
02DPR0051B,0
02DPR0052A,0
02DPR0054Z,0
02DPR0056X,0
02DPR0057W,0
02DPR0058V,0
02DPR0059U,0
02DPR0060J,0
02DPR0061I,0
02DPR0062H,0
02DPR0063G,0
02DPR0065E,0
02DPR0066D,0
02DPR0067C,0
02DPR0068B,1
02DPR0069A,0
02DPR0070Q,0
02DPR0071P,0
02DPR0072O,0
02DPR0073N,0
02DPR0074M,0
02DPR0075L,0
02DPR0076K,0
02DPR0077J,1
02DPR0078I,0
02DPR0079H,0
02DPR0080X,0
02DPR0081W,0
02DPR0082V,0
02DPR0083U,0
02DPR0084T,0
02DPR0085S,0
02DPR0086R,0
02DPR0087Q,0
02DPR0089O,0
02DPR0090D,0
02DPR0091C,0
02DPR0092B,0
02DPR0094Z,0
02DPR0095Z,0
02DPR0096Y,0
02DPR0097X,0
02DPR0098W,0
02DPR0099V,0
02DPR0100U,1
02DPR0101T,0
02DPR0102S,0
02DPR0103R,0
02DPR0104Q,0
02DPR0105P,0
02DPR0106O,0
02DPR0107N,0
02DPR0108M,0
02DPR0109L,0
02DPR0110A,0
02DPR0111Z,0
02DPR0112Z,0
02DPR0113Y,0
02DPR0115W,0
02DPR0116V,0
02DPR0117U,0
02DPR0118T,0
02DPR0119S,0
02DPR0120H,0
02DPR0121G,0
02DPR0122F,0
02DPR0123E,0
02DPR0124D,0
02DPR0125C,0
02DPR0126B,0
02DPR0127A,0
02DPR0128Z,0
02DPR0129Z,0
02DPR0130O,0
02DPR0131N,0
02DPR0132M,1
02DPR0133L,1
02DPR0137H,0
02DPR0138G,1
02DPR0139F,1
02DPR0141U,1
02DPR0143S,1
02DPR0145Q,0
02DPR0147O,0
02DPR0148N,1
02DPR0149M,0
02DPR0150B,0
02DPR0151A,0
02DPR0152Z,0
02DPR0153Z,0
02DPR0154Y,0
02DPR0158U,0
02DPR0160I,0
02DPR0161H,0
02DPR0162G,1
02DPR0163F,0
02DPR0164E,1
02DPR0165D,0
02DPR0166C,0
02DPR0167B,0
02DPR0168A,1
02DPR0169Z,0
02DPR0170P,0
02DPR0171O,0
02DPR0172N,0
02DPR0173M,0
02DPR0174L,0
02DPR0175K,1
02DPR0177I,0
02DPR0178H,0
02DPR0180W,0
02DPR0181V,0
02DPR0182U,0
02DPR0183T,0
02DPR0184S,0
02DPR0185R,0
02DPR0186Q,0
02DPR0187P,0
02DPR0188O,0
02DPR0189N,1
02DPR0190C,0
02DPR0193Z,0
02DPR0194Z,0
02DPR0196X,0
02DPR0197W,0
02DPR0198V,1
