cct,semaforo_std
01DPR0001V,1
01DPR0002U,0
01DPR0003T,0
01DPR0005R,1
01DPR0006Q,1
01DPR0007P,1
01DPR0008O,1
01DPR0009N,1
01DPR0010C,1
01DPR0012A,0
01DPR0013Z,0
01DPR0014Z,1
01DPR0015Y,1
01DPR0016X,0
01DPR0017W,1
01DPR0018V,0
01DPR0019U,0
01DPR0020J,1
01DPR0021I,1
01DPR0022H,1
01DPR0023G,0
01DPR0024F,0
01DPR0025E,1
01DPR0026D,1
01DPR0027C,1
01DPR0028B,1
01DPR0031P,1
01DPR0032O,0
01DPR0033N,0
01DPR0034M,1
01DPR0036K,1
01DPR0037J,1
01DPR0038I,0
01DPR0039H,0
01DPR0040X,1
01DPR0041W,0
01DPR0044T,0
01DPR0045S,0
01DPR0047Q,1
01DPR0048P,1
01DPR0049O,1
01DPR0050D,1
01DPR0051C,1
01DPR0052B,1
01DPR0055Z,0
01DPR0057X,0
01DPR0058W,1
01DPR0059V,1
01DPR0060K,0
01DPR0061J,0
01DPR0064G,1
01DPR0065F,0
01DPR0066E,0
01DPR0067D,1
01DPR0068C,0
01DPR0069B,0
01DPR0070R,1
01DPR0071Q,1
01DPR0072P,0
01DPR0073O,1
01DPR0074N,0
01DPR0075M,0
01DPR0076L,0
01DPR0078J,1
01DPR0079I,1
01DPR0080Y,0
01DPR0081X,0
01DPR0082W,1
01DPR0083V,1
01DPR0084U,0
01DPR0085T,1
01DPR0086S,1
01DPR0087R,0
01DPR0090E,0
01DPR0091D,0
01DPR0092C,0
01DPR0093B,1
01DPR0094A,1
01DPR0095Z,0
01DPR0096Z,1
01DPR0097Y,0
01DPR0098X,0
01DPR0099W,0
01DPR0100V,1
01DPR0101U,0
01DPR0102T,1
01DPR0103S,0
01DPR0104R,1
01DPR0105Q,1
01DPR0106P,1
01DPR0108N,1
01DPR0109M,0
01DPR0110B,1
01DPR0112Z,0
01DPR0115X,1
01DPR0116W,0
01DPR0117V,1
01DPR0118U,1
01DPR0119T,0
01DPR0121H,1
01DPR0123F,1
01DPR0124E,1
01DPR0127B,1
01DPR0129Z,0
01DPR0131O,1
01DPR0134L,1
01DPR0136J,1
01DPR0137I,1
01DPR0138H,0
01DPR0139G,1
01DPR0141V,1
01DPR0143T,1
01DPR0144S,1
01DPR0146Q,0
01DPR0147P,1
01DPR0149N,1
01DPR0150C,1
01DPR0152A,0
01DPR0153Z,0
01DPR0154Z,1
01DPR0155Y,1
01DPR0158V,0
01DPR0159U,1
01DPR0160J,1
01DPR0161I,1
01DPR0163G,0
01DPR0165E,0
01DPR0167C,0
01DPR0168B,1
01DPR0170Q,0
01DPR0171P,1
01DPR0172O,0
01DPR0173N,0
01DPR0175L,0
01DPR0176K,0
01DPR0177J,0
01DPR0179H,1
01DPR0180X,0
01DPR0181W,0
01DPR0184T,0
01DPR0185S,0
01DPR0186R,1
01DPR0187Q,0
01DPR0188P,1
01DPR0189O,1
01DPR0190D,0
01DPR0191C,0
01DPR0192B,1
01DPR0193A,0
01DPR0195Z,0
01DPR0196Y,0
01DPR0198W,1
01DPR0200U,0
01DPR0202S,1
01DPR0204Q,1
01DPR0205P,1
01DPR0206O,0
01DPR0207N,1
01DPR0208M,0
01DPR0209L,0
01DPR0210A,0
01DPR0212Z,1
01DPR0213Y,1
01DPR0214X,1
01DPR0216V,1
01DPR0217U,0
01DPR0218T,0
01DPR0219S,1
01DPR0220H,0
01DPR0222F,0
01DPR0224D,0
01DPR0226B,0
01DPR0227A,0
01DPR0228Z,0
01DPR0229Z,1
01DPR0230O,0
01DPR0232M,0
01DPR0233L,0
01DPR0234K,1
01DPR0235J,1
01DPR0240V,1
01DPR0241U,1
01DPR0242T,1
01DPR0243S,1
01DPR0244R,0
01DPR0245Q,1
01DPR0246P,0
01DPR0249M,1
01DPR0250B,1
01DPR0251A,1
01DPR0253Z,1
01DPR0254Y,0
01DPR0255X,1
01DPR0256W,0
01DPR0257V,1
01DPR0258U,0
01DPR0259T,1
01DPR0260I,0
01DPR0261H,1
01DPR0269Z,0
01DPR0270P,0
01DPR0271O,1
01DPR0272N,1
01DPR0274L,0
01DPR0276J,1
01DPR0278H,0
01DPR0279G,0
01DPR0280W,1
01DPR0281V,1
01DPR0283T,0
01DPR0284S,1
01DPR0285R,0
01DPR0287P,1
01DPR0288O,1
01DPR0289N,1
01DPR0290C,1
01DPR0293Z,1
01DPR0295Y,0
01DPR0297W,0
01DPR0298V,0
01DPR0300T,0
01DPR0301S,1
01DPR0302R,0
01DPR0303Q,0
01DPR0304P,1
01DPR0305O,1
01DPR0306N,1
01DPR0307M,1
01DPR0308L,0
01DPR0309K,0
01DPR0310Z,1
01DPR0311Z,0
01DPR0312Y,0
01DPR0313X,1
01DPR0314W,0
01DPR0315V,1
01DPR0316U,1
01DPR0317T,1
01DPR0319R,1
01DPR0320G,1
01DPR0321F,0
01DPR0322E,0
01DPR0323D,1
01DPR0324C,0
01DPR0325B,0
01DPR0326A,1
01DPR0328Z,0
01DPR0329Y,0
01DPR0330N,0
01DPR0331M,1
01DPR0332L,1
01DPR0333K,0
01DPR0334J,1
01DPR0335I,0
01DPR0336H,1
01DPR0338F,1
01DPR0340U,1
01DPR0341T,1
01DPR0342S,1
01DPR0343R,0
01DPR0346O,0
01DPR0347N,0
01DPR0348M,0
01DPR0349L,0
01DPR0350A,0
01DPR0351Z,1
01DPR0352Z,1
01DPR0353Y,0
01DPR0354X,0
01DPR0358T,0
01DPR0359S,0
01DPR0360H,1
01DPR0361G,1
01DPR0362F,1
01DPR0364D,1
01DPR0366B,1
01DPR0367A,0
01DPR0368Z,1
01DPR0369Z,0
01DPR0371N,0
01DPR0372M,1
01DPR0373L,1
01DPR0374K,1
01DPR0375J,1
01DPR0376I,0
01DPR0377H,0
01DPR0378G,1
01DPR0380V,1
01DPR0381U,0
01DPR0382T,0
01DPR0383S,0
01DPR0384R,1
01DPR0386P,0
01DPR0387O,1
01DPR0388N,1
01DPR0390B,0
01DPR0391A,0
01DPR0392Z,0
01DPR0394Y,0
01DPR0396W,1
01DPR0397V,0
01DPR0398U,0
01DPR0399T,1
01DPR0401R,1
01DPR0402Q,0
01DPR0403P,0
01DPR0406M,0
01DPR0408K,0
01DPR0410Z,0
01DPR0411Y,0
01DPR0413W,0
01DPR0414V,1
01DPR0415U,0
01DPR0416T,1
01DPR0417S,1
01DPR0418R,1
01DPR0419Q,1
01DPR0420F,1
01DPR0423C,1
01DPR0424B,1
01DPR0425A,1
01DPR0426Z,0
01DPR0427Z,1
01DPR0429X,1
01DPR0430M,0
01DPR0431L,0
01DPR0432K,0
01DPR0433J,1
01DPR0434I,1
01DPR0435H,1
01DPR0436G,0
01DPR0437F,0
01DPR0438E,1
01DPR0439D,1
01DPR0440T,0
01DPR0441S,1
01DPR0442R,1
01DPR0444P,0
01DPR0445O,1
01DPR0446N,0
01DPR0448L,0
01DPR0452Y,1
01DPR0456U,0
01DPR0457T,0
01DPR0460G,0
01DPR0468Z,0
01DPR0469Y,1
01DPR0470N,0
01DPR0471M,1
01DPR0472L,0
01DPR0474J,0
01DPR0476H,0
01DPR0481T,0
01DPR0482S,0
01DPR0483R,1
01DPR0485P,1
01DPR0486O,0
01DPR0487N,1
01DPR0489L,1
01DPR0490A,1
01DPR0494X,1
01DPR0495W,0
01DPR0496V,0
01DPR0497U,0
01DPR0500R,0
01DPR0502P,0
01DPR0503O,0
01DPR0504N,0
01DPR0507K,0
01DPR0511X,1
01DPR0514U,0
01DPR0516S,0
01DPR0517R,1
01DPR0519P,1
01DPR0520E,0
01DPR0521D,0
01DPR0522C,0
01DPR0523B,0
01DPR0525Z,1
01DPR0530L,1
01DPR0531K,1
01DPR0532J,0
01DPR0534H,0
01DPR0535G,1
01DPR0536F,0
01DPR0538D,1
01DPR0539C,0
01DPR0540S,1
01DPR0543P,1
01DPR0544O,1
01DPR0546M,0
01DPR0547L,1
01DPR0549J,0
01DPR0551Y,1
01DPR0552X,0
01DPR0553W,0
01DPR0556T,1
01DPR0557S,1
01DPR0558R,0
01DPR0560F,1
01DPR0565A,1
01DPR0568Y,1
01DPR0569X,0
01DPR0570M,1
01DPR0572K,1
01DPR0573J,1
01DPR0574I,0
01DPR0575H,0
01DPR0576G,1
01DPR0577F,0
01DPR0578E,0
01DPR0579D,1
01DPR0581S,1
01DPR0586N,1
01DPR0588L,0
01DPR0592Y,1
01DPR0596U,1
01DPR0597T,1
01DPR0598S,1
01DPR0599R,1
01DPR0601P,0
01DPR0603N,0
01DPR0604M,1
01DPR0605L,0
01DPR0607J,1
01DPR0608I,1
01DPR0609H,0
01DPR0611W,0
01DPR0612V,1
01DPR0613U,0
01DPR0614T,0
01DPR0615S,0
01DPR0616R,1
01DPR0620D,1
01DPR0621C,0
01DPR0622B,0
01DPR0623A,0
01DPR0624Z,0
01DPR0625Z,0
01DPR0626Y,1
01DPR0627X,1
01DPR0629V,1
01DPR0630K,0
01DPR0631J,0
01DPR0632I,0
01DPR0634G,0
01DPR0639B,0
01DPR0640R,0
01DPR0641Q,1
01DPR0642P,1
01DPR0643O,1
01DPR0644N,1
01DPR0646L,0
01DPR0647K,1
01DPR0648J,1
01DPR0649I,0
01DPR0650Y,1
01DPR0652W,1
01DPR0653V,1
01DPR0654U,1
01DPR0655T,0
01DPR0656S,0
01DPR0657R,0
01DPR0658Q,0
01DPR0659P,1
01DPR0660E,0
01DPR0661D,0
01DPR0662C,1
01DPR0663B,0
01DPR0664A,0
01DPR0665Z,1
01DPR0666Z,1
01DPR0667Y,0
01DPR0668X,0
01DPR0669W,1
01DPR0670L,1
01DPR0671K,0
01DPR0672J,1
01DPR0673I,0
01DPR0674H,0
01DPR0676F,1
01DPR0677E,0
01DPR0678D,0
01DPR0679C,0
01DPR0680S,0
01DPR0682Q,1
01DPR0683P,0
01DPR0684O,0
01DPR0685N,1
01DPR0686M,0
01DPR0687L,0
01DPR0688K,0
01DPR0689J,1
01DPR0690Z,1
01DPR0691Y,1
01DPR0692X,1
01DPR0693W,0
01DPR0694V,0
01DPR0695U,0
01DPR0696T,1
01DPR0697S,0
01DPR0698R,0
01DPR0699Q,1
01DPR0701O,1
01DPR0702N,0
01DPR0703M,1
01DPR0704L,0
01DPR0705K,0
01DPR0706J,0
01DPR0707I,1
01DPR0709G,0
01PPR0001Z,1
01PPR0003Y,1
01PPR0005W,1
01PPR0006V,1
01PPR0008T,1
01PPR0009S,0
01PPR0012F,1
01PPR0013E,0
01PPR0014D,1
01PPR0015C,1
01PPR0017A,1
01PPR0018Z,1
01PPR0020O,0
01PPR0021N,1
01PPR0023L,1
01PPR0024K,0
01PPR0025J,1
01PPR0026I,0
01PPR0027H,1
01PPR0030V,1
01PPR0031U,1
01PPR0033S,1
01PPR0034R,1
01PPR0035Q,1
01PPR0036P,0
01PPR0037O,1
01PPR0039M,1
01PPR0040B,1
01PPR0043Z,1
01PPR0044Y,1
01PPR0045X,1
01PPR0047V,1
01PPR0049T,1
01PPR0050I,1
01PPR0051H,1
01PPR0054E,1
01PPR0056C,0
01PPR0057B,1
01PPR0060P,0
