cct,semaforo_std
01DPR0001V,1
01DPR0002U,0
01DPR0003T,0
01DPR0005R,1
01DPR0006Q,1
01DPR0007P,1
01DPR0008O,1
01DPR0009N,1
01DPR0010C,1
01DPR0012A,1
01DPR0013Z,1
01DPR0014Z,1
01DPR0015Y,0
01DPR0016X,1
01DPR0017W,0
01DPR0018V,0
01DPR0019U,1
01DPR0020J,1
01DPR0021I,1
01DPR0022H,1
01DPR0023G,1
01DPR0024F,1
01DPR0025E,1
01DPR0026D,1
01DPR0027C,1
01DPR0028B,1
01DPR0031P,1
01DPR0032O,1
01DPR0033N,1
01DPR0034M,1
01DPR0036K,1
01DPR0037J,0
01DPR0038I,1
01DPR0039H,1
01DPR0040X,1
01DPR0041W,1
01DPR0044T,1
01DPR0045S,1
01DPR0047Q,0
01DPR0048P,1
01DPR0049O,0
01DPR0050D,1
01DPR0051C,1
01DPR0052B,1
01DPR0055Z,1
01DPR0057X,1
01DPR0058W,1
01DPR0059V,1
01DPR0060K,1
01DPR0061J,1
01DPR0064G,0
01DPR0065F,1
01DPR0066E,1
01DPR0067D,1
01DPR0068C,1
01DPR0069B,1
01DPR0070R,0
01DPR0071Q,0
01DPR0072P,1
01DPR0073O,1
01DPR0074N,1
01DPR0075M,1
01DPR0076L,1
01DPR0078J,1
01DPR0079I,1
01DPR0080Y,1
01DPR0081X,1
01DPR0082W,0
01DPR0083V,1
01DPR0084U,1
01DPR0085T,1
01DPR0086S,1
01DPR0087R,1
01DPR0090E,1
01DPR0091D,1
01DPR0092C,1
01DPR0093B,1
01DPR0094A,1
01DPR0095Z,1
01DPR0096Z,1
01DPR0097Y,1
01DPR0098X,1
01DPR0099W,1
01DPR0100V,1
01DPR0101U,0
01DPR0102T,1
01DPR0103S,1
01DPR0104R,1
01DPR0105Q,1
01DPR0106P,1
01DPR0108N,0
01DPR0109M,1
01DPR0110B,0
01DPR0112Z,0
01DPR0115X,1
01DPR0116W,1
01DPR0117V,1
01DPR0118U,1
01DPR0119T,1
01DPR0121H,1
01DPR0123F,1
01DPR0124E,1
01DPR0127B,1
01DPR0129Z,1
01DPR0131O,1
01DPR0134L,1
01DPR0136J,0
01DPR0137I,1
01DPR0138H,1
01DPR0139G,1
01DPR0141V,1
01DPR0143T,1
01DPR0144S,1
01DPR0146Q,1
01DPR0147P,1
01DPR0149N,1
01DPR0150C,1
01DPR0152A,0
01DPR0153Z,1
01DPR0154Z,1
01DPR0155Y,1
01DPR0158V,1
01DPR0159U,1
01DPR0160J,1
01DPR0161I,1
01DPR0163G,0
01DPR0165E,1
01DPR0167C,1
01DPR0168B,1
01DPR0170Q,1
01DPR0171P,0
01DPR0172O,0
01DPR0173N,0
01DPR0175L,0
01DPR0176K,1
01DPR0177J,1
01DPR0179H,1
01DPR0180X,1
01DPR0181W,1
01DPR0184T,1
01DPR0185S,1
01DPR0186R,0
01DPR0187Q,1
01DPR0188P,1
01DPR0189O,1
01DPR0190D,1
01DPR0191C,1
01DPR0192B,1
01DPR0193A,1
01DPR0195Z,0
01DPR0196Y,1
01DPR0198W,0
01DPR0200U,1
01DPR0202S,1
01DPR0204Q,1
01DPR0205P,1
01DPR0206O,1
01DPR0207N,1
01DPR0208M,1
01DPR0209L,0
01DPR0210A,1
01DPR0212Z,1
01DPR0213Y,0
01DPR0214X,1
01DPR0216V,1
01DPR0217U,1
01DPR0218T,1
01DPR0219S,1
01DPR0220H,1
01DPR0222F,1
01DPR0224D,0
01DPR0226B,1
01DPR0227A,0
01DPR0228Z,0
01DPR0229Z,1
01DPR0230O,1
01DPR0232M,1
01DPR0233L,1
01DPR0234K,0
01DPR0235J,0
01DPR0240V,0
01DPR0241U,1
01DPR0242T,1
01DPR0243S,1
01DPR0244R,0
01DPR0245Q,0
01DPR0246P,1
01DPR0249M,1
01DPR0250B,0
01DPR0251A,0
01DPR0253Z,1
01DPR0254Y,1
01DPR0255X,0
01DPR0256W,0
01DPR0257V,0
01DPR0258U,1
01DPR0259T,1
01DPR0260I,1
01DPR0269Z,0
01DPR0270P,1
01DPR0271O,0
01DPR0272N,1
01DPR0274L,1
01DPR0276J,1
01DPR0278H,1
01DPR0279G,1
01DPR0280W,1
01DPR0281V,1
01DPR0283T,1
01DPR0284S,1
01DPR0285R,1
01DPR0287P,1
01DPR0288O,1
01DPR0289N,0
01DPR0290C,0
01DPR0293Z,1
01DPR0295Y,1
01DPR0297W,0
01DPR0298V,1
01DPR0300T,1
01DPR0301S,0
01DPR0302R,1
01DPR0303Q,0
01DPR0304P,1
01DPR0305O,1
01DPR0306N,0
01DPR0307M,1
01DPR0308L,1
01DPR0309K,1
01DPR0310Z,1
01DPR0311Z,1
01DPR0312Y,1
01DPR0313X,1
01DPR0314W,1
01DPR0315V,1
01DPR0316U,1
01DPR0317T,1
01DPR0319R,0
01DPR0320G,0
01DPR0321F,1
01DPR0322E,1
01DPR0323D,0
01DPR0324C,0
01DPR0325B,1
01DPR0326A,1
01DPR0328Z,1
01DPR0329Y,1
01DPR0330N,0
01DPR0331M,1
01DPR0332L,1
01DPR0333K,1
01DPR0334J,0
01DPR0335I,1
01DPR0336H,1
01DPR0338F,1
01DPR0340U,1
01DPR0341T,0
01DPR0342S,1
01DPR0343R,1
01DPR0346O,1
01DPR0347N,0
01DPR0348M,1
01DPR0349L,1
01DPR0350A,1
01DPR0351Z,0
01DPR0352Z,1
01DPR0353Y,1
01DPR0354X,1
01DPR0358T,1
01DPR0359S,1
01DPR0360H,1
01DPR0361G,1
01DPR0362F,0
01DPR0364D,0
01DPR0366B,1
01DPR0367A,0
01DPR0368Z,1
01DPR0369Z,1
01DPR0371N,1
01DPR0372M,1
01DPR0373L,1
01DPR0374K,1
01DPR0375J,1
01DPR0376I,1
01DPR0377H,1
01DPR0378G,1
01DPR0380V,0
01DPR0381U,1
01DPR0382T,1
01DPR0383S,1
01DPR0384R,1
01DPR0386P,1
01DPR0387O,0
01DPR0388N,0
01DPR0390B,0
01DPR0391A,1
01DPR0392Z,1
01DPR0394Y,1
01DPR0396W,1
01DPR0397V,1
01DPR0398U,1
01DPR0399T,1
01DPR0401R,1
01DPR0402Q,1
01DPR0403P,1
01DPR0406M,1
01DPR0408K,1
01DPR0410Z,1
01DPR0411Y,1
01DPR0413W,1
01DPR0414V,1
01DPR0415U,1
01DPR0416T,1
01DPR0417S,0
01DPR0418R,0
01DPR0419Q,1
01DPR0420F,1
01DPR0423C,0
01DPR0424B,1
01DPR0425A,0
01DPR0426Z,1
01DPR0427Z,1
01DPR0429X,0
01DPR0430M,1
01DPR0431L,1
01DPR0432K,1
01DPR0433J,0
01DPR0434I,0
01DPR0435H,1
01DPR0436G,1
01DPR0437F,0
01DPR0438E,1
01DPR0439D,1
01DPR0440T,0
01DPR0441S,1
01DPR0442R,1
01DPR0444P,1
01DPR0445O,1
01DPR0446N,0
01DPR0448L,1
01DPR0452Y,0
01DPR0456U,1
01DPR0457T,1
01DPR0460G,0
01DPR0468Z,1
01DPR0469Y,1
01DPR0470N,0
01DPR0471M,0
01DPR0472L,1
01DPR0474J,0
01DPR0476H,1
01DPR0481T,1
01DPR0482S,1
01DPR0483R,0
01DPR0485P,1
01DPR0486O,0
01DPR0487N,1
01DPR0489L,0
01DPR0490A,1
01DPR0494X,0
01DPR0495W,1
01DPR0496V,1
01DPR0497U,0
01DPR0500R,1
01DPR0502P,1
01DPR0503O,0
01DPR0504N,1
01DPR0507K,1
01DPR0511X,1
01DPR0514U,1
01DPR0516S,1
01DPR0517R,1
01DPR0519P,1
01DPR0520E,1
01DPR0521D,1
01DPR0522C,1
01DPR0523B,1
01DPR0525Z,1
01DPR0530L,1
01DPR0531K,1
01DPR0532J,1
01DPR0534H,1
01DPR0535G,1
01DPR0536F,1
01DPR0538D,0
01DPR0539C,1
01DPR0540S,1
01DPR0543P,1
01DPR0544O,1
01DPR0546M,1
01DPR0547L,1
01DPR0549J,1
01DPR0551Y,1
01DPR0552X,1
01DPR0553W,1
01DPR0556T,1
01DPR0557S,1
01DPR0558R,1
01DPR0560F,1
01DPR0565A,0
01DPR0568Y,1
01DPR0569X,1
01DPR0570M,1
01DPR0572K,1
01DPR0573J,0
01DPR0574I,1
01DPR0575H,1
01DPR0576G,1
01DPR0577F,0
01DPR0578E,0
01DPR0579D,0
01DPR0581S,1
01DPR0586N,1
01DPR0588L,1
01DPR0592Y,1
01DPR0596U,1
01DPR0597T,1
01DPR0598S,1
01DPR0599R,1
01DPR0601P,1
01DPR0603N,1
01DPR0604M,1
01DPR0605L,0
01DPR0607J,1
01DPR0608I,1
01DPR0609H,1
01DPR0611W,1
01DPR0612V,1
01DPR0613U,1
01DPR0614T,1
01DPR0615S,1
01DPR0616R,1
01DPR0620D,1
01DPR0621C,1
01DPR0622B,1
01DPR0623A,1
01DPR0624Z,1
01DPR0625Z,1
01DPR0626Y,1
01DPR0627X,0
01DPR0629V,1
01DPR0630K,1
01DPR0631J,0
01DPR0632I,1
01DPR0634G,0
01DPR0639B,0
01DPR0640R,0
01DPR0641Q,1
01DPR0642P,1
01DPR0643O,1
01DPR0644N,1
01DPR0646L,1
01DPR0647K,1
01DPR0648J,1
01DPR0649I,1
01DPR0650Y,1
01DPR0652W,1
01DPR0653V,1
01DPR0654U,1
01DPR0655T,1
01DPR0656S,1
01DPR0657R,1
01DPR0658Q,1
01DPR0659P,0
01DPR0660E,1
01DPR0661D,1
01DPR0662C,1
01DPR0663B,1
01DPR0664A,1
01DPR0665Z,1
01DPR0666Z,1
01DPR0667Y,1
01DPR0668X,1
01DPR0669W,1
01DPR0670L,1
01DPR0671K,1
01DPR0672J,1
01DPR0673I,1
01DPR0674H,1
01DPR0676F,1
01DPR0677E,0
01DPR0678D,1
01DPR0679C,1
01DPR0680S,1
01DPR0682Q,1
01DPR0683P,0
01DPR0684O,1
01DPR0685N,0
01DPR0686M,1
01DPR0687L,0
01DPR0689J,1
01DPR0692X,0
01DPR0694V,1
01DPR0701O,1
01DPR0703M,0
01DPR0704L,1
01DPR0705K,1
01DPR0706J,1
01PPR0001Z,0
01PPR0003Y,0
01PPR0005W,1
01PPR0006V,1
01PPR0008T,1
01PPR0009S,1
01PPR0012F,1
01PPR0013E,1
01PPR0014D,1
01PPR0015C,1
01PPR0017A,1
01PPR0018Z,1
01PPR0020O,1
01PPR0021N,1
01PPR0023L,1
01PPR0024K,1
01PPR0025J,1
01PPR0026I,1
01PPR0027H,1
01PPR0030V,1
01PPR0031U,1
01PPR0033S,0
01PPR0034R,0
01PPR0035Q,1
01PPR0036P,1
01PPR0037O,1
01PPR0039M,1
01PPR0040B,1
01PPR0043Z,1
01PPR0044Y,1
01PPR0045X,1
01PPR0047V,1
01PPR0049T,1
01PPR0050I,1
01PPR0051H,1
01PPR0054E,1
01PPR0056C,0
01PPR0057B,1
01PPR0060P,1
01PPR0062N,1
01PPR0065K,1
01PPR0067I,1
01PPR0068H,0
01PPR0069G,1
01PPR0070W,1
01PPR0072U,1
01PPR0075R,1
01PPR0076Q,1
01PPR0077P,1
01PPR0078O,1
01PPR0079N,1
01PPR0082A,0
