cct,semaforo_std
01DPR0417S,0
01DPR0418R,0
01DPR0419Q,0
01DPR0420F,0
01DPR0423C,0
01DPR0424B,0
01DPR0425A,1
01DPR0426Z,0
01DPR0427Z,0
01DPR0429X,0
01DPR0430M,0
01DPR0431L,0
01DPR0432K,0
01DPR0433J,0
01DPR0434I,0
01DPR0435H,0
01DPR0436G,0
01DPR0437F,1
01DPR0438E,0
01DPR0439D,0
01DPR0440T,0
01DPR0441S,0
01DPR0442R,0
01DPR0444P,0
01DPR0445O,0
01DPR0446N,0
01DPR0448L,0
01DPR0452Y,1
01DPR0456U,0
01DPR0457T,0
01DPR0460G,0
01DPR0468Z,0
01DPR0469Y,0
01DPR0470N,0
01DPR0471M,0
01DPR0472L,0
01DPR0474J,0
01DPR0476H,0
01DPR0481T,0
01DPR0482S,0
01DPR0483R,0
01DPR0485P,0
01DPR0486O,0
01DPR0487N,0
01DPR0489L,0
01DPR0490A,0
01DPR0494X,0
01DPR0495W,0
01DPR0496V,0
01DPR0497U,0
01DPR0500R,0
01DPR0502P,0
01DPR0503O,0
01DPR0504N,0
01DPR0507K,0
01DPR0511X,0
01DPR0514U,0
01DPR0516S,0
01DPR0517R,1
01DPR0519P,0
01DPR0520E,0
01DPR0521D,0
01DPR0522C,0
01DPR0523B,0
01DPR0525Z,0
01DPR0530L,0
01DPR0531K,0
01DPR0532J,0
01DPR0534H,0
01DPR0535G,1
01DPR0536F,0
01DPR0538D,0
01DPR0539C,0
01DPR0540S,0
01DPR0543P,0
01DPR0544O,0
01DPR0546M,0
01DPR0547L,0
01DPR0549J,0
01DPR0551Y,0
01DPR0552X,0
01DPR0553W,0
01DPR0556T,0
01DPR0557S,0
01DPR0558R,0
01DPR0560F,0
01DPR0565A,0
01DPR0568Y,0
01DPR0569X,0
01DPR0570M,0
01DPR0572K,1
01DPR0573J,0
01DPR0574I,0
01DPR0575H,0
01DPR0576G,0
01DPR0577F,0
01DPR0578E,0
01DPR0579D,0
01DPR0581S,0
01DPR0586N,0
01DPR0588L,0
01DPR0592Y,0
01DPR0596U,0
01DPR0597T,0
01DPR0598S,0
01DPR0599R,0
01DPR0601P,0
01DPR0603N,1
01DPR0604M,0
01DPR0605L,1
01DPR0607J,0
01DPR0608I,0
01DPR0609H,0
01DPR0611W,0
01DPR0612V,0
01DPR0613U,0
01DPR0614T,0
01DPR0615S,0
01DPR0616R,0
01DPR0620D,0
01DPR0621C,0
01DPR0622B,0
01DPR0623A,0
01DPR0624Z,0
01DPR0625Z,0
01DPR0626Y,0
01DPR0627X,1
01DPR0629V,0
01DPR0630K,0
01DPR0631J,0
01DPR0632I,0
01DPR0634G,0
01DPR0639B,0
01DPR0640R,0
01DPR0641Q,0
01DPR0642P,0
01DPR0643O,0
01DPR0644N,0
01DPR0646L,0
01DPR0647K,0
01DPR0648J,0
01DPR0649I,0
01DPR0650Y,0
01DPR0652W,0
01DPR0653V,0
01DPR0654U,0
01DPR0655T,0
01DPR0656S,0
01DPR0657R,0
01DPR0658Q,0
01DPR0659P,0
01DPR0660E,0
01DPR0661D,1
01DPR0662C,0
01DPR0663B,0
01DPR0664A,0
01DPR0665Z,0
01DPR0666Z,0
01DPR0667Y,0
01DPR0668X,0
01DPR0669W,0
01DPR0670L,0
01DPR0671K,0
01DPR0672J,1
01DPR0673I,0
01DPR0674H,0
01DPR0676F,0
01DPR0677E,0
01DPR0678D,0
01DPR0679C,0
01DPR0680S,0
01DPR0682Q,0
01DPR0683P,0
01DPR0684O,0
01DPR0685N,0
01DPR0686M,0
01DPR0687L,0
01DPR0688K,0
01DPR0689J,0
01DPR0690Z,1
01DPR0691Y,0
01DPR0692X,0
01DPR0693W,0
01DPR0694V,0
01DPR0695U,0
01DPR0696T,1
01DPR0697S,0
01DPR0698R,0
01DPR0699Q,1
01DPR0701O,0
01DPR0702N,0
01DPR0703M,0
01DPR0704L,0
01DPR0705K,0
01DPR0706J,0
01DPR0707I,1
01DPR0709G,0
01PPR0001Z,0
01PPR0003Y,1
01PPR0005W,0
01PPR0006V,1
01PPR0008T,0
01PPR0009S,0
01PPR0012F,0
01PPR0013E,0
01PPR0014D,0
01PPR0015C,0
01PPR0017A,0
01PPR0018Z,1
01PPR0020O,0
01PPR0021N,0
01PPR0023L,1
01PPR0024K,0
01PPR0025J,0
01PPR0026I,0
01PPR0027H,0
01PPR0030V,0
01PPR0031U,0
01PPR0033S,1
01PPR0034R,1
01PPR0035Q,0
01PPR0036P,0
01PPR0037O,0
01PPR0039M,0
01PPR0040B,0
01PPR0043Z,0
01PPR0044Y,1
01PPR0045X,0
01PPR0047V,0
01PPR0049T,1
01PPR0050I,1
01PPR0051H,0
01PPR0054E,0
01PPR0056C,1
01PPR0057B,0
01PPR0060P,0
01PPR0062N,0
01PPR0065K,0
01PPR0067I,0
01PPR0068H,1
01PPR0069G,0
01PPR0070W,1
01PPR0072U,0
01PPR0075R,0
01PPR0076Q,0
01PPR0077P,1
01PPR0078O,1
01PPR0079N,0
01PPR0082A,1
01PPR0083Z,1
01PPR0085Y,0
01PPR0086X,0
01PPR0087W,1
01PPR0088V,0
01PPR0089U,1
01PPR0090J,0
01PPR0091I,1
01PPR0093G,0
01PPR0094F,0
01PPR0095E,0
01PPR0096D,0
01PPR0097C,1
01PPR0099A,0
01PPR0101Z,0
01PPR0102Y,0
01PPR0103X,1
01PPR0104W,0
01PPR0105V,0
01PPR0106U,0
01PPR0109R,0
01PPR0112E,0
01PPR0116A,0
01PPR0117Z,0
01PPR0118Z,0
01PPR0119Y,1
01PPR0120N,0
01PPR0121M,0
01PPR0122L,0
01PPR0123K,1
01PPR0124J,0
01PPR0125I,0
01PPR0126H,0
01PPR0132S,0
01PPR0133R,0
01PPR0134Q,1
